Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-926-S6 (Admin user is able to set the user as PrivilegeGroupWriter),Chrome 97.0.4692.71,Admin user is able to set the user as PrivilegeGroupWriter,,2022-01-20 14:54:16,2022-01-20 14:54:17,1.687s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/PrivilegeGroup/div_PrivilegeGroupWriter""), STOP_ON_FAILURE)",Chrome 97.0.4692.71,,,2022-01-20 14:54:16,2022-01-20 14:54:16,0.385s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:16,2022-01-20 14:54:17,1.006s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-927-S6 (Admin user is able to set the user as PrivilegeGroupAdmin),Chrome 97.0.4692.71,Admin user is able to set the user as PrivilegeGroupAdmin,,2022-01-20 14:54:17,2022-01-20 14:54:19,1.606s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/PrivilegeGroup/div_PrivilegeGroupAdmin""), STOP_ON_FAILURE)",Chrome 97.0.4692.71,,,2022-01-20 14:54:18,2022-01-20 14:54:18,0.388s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:18,2022-01-20 14:54:19,1.015s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-928-S6 (Admin user is able to set the user as GrantReader),Chrome 97.0.4692.71,Admin user is able to set the user as GrantReader,,2022-01-20 14:54:19,2022-01-20 14:54:21,1.591s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/PrivilegeGroup/div_Values Reader""), STOP_ON_FAILURE)",Chrome 97.0.4692.71,,,2022-01-20 14:54:19,2022-01-20 14:54:20,0.387s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:20,2022-01-20 14:54:21,1.011s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-929-S6 (Admin user is able to set the user as GrantWriter),Chrome 97.0.4692.71,Admin user is able to set the user as GrantWriter,,2022-01-20 14:54:21,2022-01-20 14:54:37,16.495s,PASSED
delay(2),Chrome 97.0.4692.71,,,2022-01-20 14:54:21,2022-01-20 14:54:23,2.019s,PASSED
"setText(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/input_User Login Name""), ""AutomationLN"")",Chrome 97.0.4692.71,,,2022-01-20 14:54:23,2022-01-20 14:54:24,0.822s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:24,2022-01-20 14:54:25,1.012s,PASSED
"setText(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/input_User Name""), ""ATTestUser"")",Chrome 97.0.4692.71,,,2022-01-20 14:54:25,2022-01-20 14:54:26,0.771s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:26,2022-01-20 14:54:27,1.008s,PASSED
"setText(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/input_Email""), ""Automationtest@gmail.com"")",Chrome 97.0.4692.71,,,2022-01-20 14:54:27,2022-01-20 14:54:27,0.799s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:27,2022-01-20 14:54:28,1.015s,PASSED
"setText(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/input_Address Line 1""), ""Line 1"")",Chrome 97.0.4692.71,,,2022-01-20 14:54:28,2022-01-20 14:54:29,0.719s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:29,2022-01-20 14:54:30,1.012s,PASSED
"setText(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/input_Address Line 2""), ""Line 2"")",Chrome 97.0.4692.71,,,2022-01-20 14:54:30,2022-01-20 14:54:31,1.044s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:54:31,2022-01-20 14:54:32,1.002s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/button_Save""))",Chrome 97.0.4692.71,,,2022-01-20 14:54:32,2022-01-20 14:54:33,0.510s,PASSED
delay(2),Chrome 97.0.4692.71,,,2022-01-20 14:54:33,2022-01-20 14:54:35,2.006s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/button_No(Save)""))",Chrome 97.0.4692.71,,,2022-01-20 14:54:35,2022-01-20 14:54:35,0.504s,PASSED
delay(2),Chrome 97.0.4692.71,,,2022-01-20 14:54:35,2022-01-20 14:54:37,2.009s,PASSED
